Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
WILKITSON PHARMACEUTICALS LIMITED (Nairobi),PPB/W/7306,BU202604186,PARTNERSHIP,WHOLESALE,2019,KIMATHI STREET,Nairobi,VALID,ACTIVE,2026-12-31
WIN-PHARMA LIMITED (Nairobi),PPB/W/7222,BU202604443,PRIVATE COMPANY (LIMITED),WHOLESALE,2016,NGARA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
XENOPIA INVESTMENT COMPANY LIMITED,PPB/X/8,BU202605613,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,RIVERSIDE DRIVE,,VALID,ACTIVE,2026-12-31
YANIV  ENG LTD,PPB/Y/96,BU202600107,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,EASTERN BY PASS,,VALID,ACTIVE,2026-12-31
Z .E.D PHARMACEUTICALS LIMITED (Mombasa),PPB/Z/1326,BU202606003,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,ABDALLA  FARSI ROAD,Mombasa,VALID,ACTIVE,2026-12-31
ZADCHEM HEALTHCARE LTD (Nairobi),PPB/Z/07,BU202607063,PRIVATE COMPANY (LIMITED),WHOLESALE,2013,JABAVU ROAD OFF ARGWINGS KODHEK,Nairobi,VALID,ACTIVE,2026-12-31
ZAWADI HEALTHCARE LTD (Nairobi),PPB/Z/29,BU202604416,PRIVATE COMPANY (LIMITED),WHOLESALE,2010,BABADOGO,Kiambu,VALID,ACTIVE,2026-12-31
ZIKE CORPORATION LTD (Nairobi),PPB/Z/,BU202604012,PRIVATE COMPANY (LIMITED),WHOLESALE,2004,OFF 3RD PARKLANDS AVE,Nairobi,VALID,ACTIVE,2026-12-31
ZINAYA PHARMACEUTICALS LTD,PPB/Z/1340,BU202605768,PRIVATE COMPANY (LIMITED),WHOLESALE,2019,PARKLANDS ROAD,,VALID,ACTIVE,2026-12-31
ZUVAN LIMITED (Nairobi),PPB/Z/1118,BU202605759,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,3RD PARKLANDS AVENUE NAIROBI,Nairobi,VALID,ACTIVE,2026-12-31
