Facility Name,Registration No,License Number,Ownership,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
ALIKEM PHARMACY,PPB/A/2904,BU202602700,SOLE PROPRIETOR,2022,BAMBURI UTANGE ROAD,Mombasa,VALID,ACTIVE,2026-12-31
ALIKIM PHARMACY,PPB/A/3183,BU202606124,SOLE PROPRIETOR,2024,STEADMARK ROAD,,VALID,ACTIVE,2026-12-31
ALIM MEDICARE LIMITED,PPB/A/3004,BU202607670,PARTNERSHIP,2021,LOIMA ROAD,Turkana,VALID,ACTIVE,2026-12-31
ALINA PHARMACY (Busia),PPB/A/1977,BU202607107,SOLE PROPRIETOR,2021,KISUMU-BUSIA ROAD,Busia,VALID,ACTIVE,2026-12-31
ALIOBIL CHEMIST (Mombasa),PPB/A/425,BU202607111,SOLE PROPRIETOR,2013,,Mombasa,VALID,ACTIVE,2026-12-31
ALISEPH PHARMACY (Nakuru),PPB/A/500,BU202601031,SOLE PROPRIETOR,2014,NAKURU - DUNDORI,Nakuru,VALID,ACTIVE,2026-12-31
ALISTEV CHEMIST (Machakos),PPB/A/1771,BU202602718,SOLE PROPRIETOR,2017,THIKA - GARISSA HIGHWAY,Machakos,VALID,ACTIVE,2026-12-31
ALIZETI HEALTH,PPB/A/3255,BU202600872,SOLE PROPRIETOR,2024,KANGUNDO ROAD,,VALID,ACTIVE,2026-12-31
ALKEN PHARMACEUTIALS LTD-UMOJA 3 STAGE,PPB/A/2996,BU202602346,SOLE PROPRIETOR,2018,UMOJA 3 STAGE,,VALID,ACTIVE,2026-12-31
ALKEN PHARMACEUTICAL LTD (Nairobi),PPB/A/1612,BU202602119,PRIVATE COMPANY (LIMITED),2016,BAHATI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ALKEN PHARMACEUTICALS LIMITED (Nyeri),PPB/A/3120,BU202603996,SOLE PROPRIETOR,2023,NYERI-- OTHAYA  HIGHWAY,Nyeri,VALID,ACTIVE,2026-12-31
ALKEN PHARMACEUTICALS LTD (Nairobi),PPB/A/417,BU202604516,SOLE PROPRIETOR,2014,MAKADARA CENTRE,Nairobi,VALID,ACTIVE,2026-12-31
ALKEN PHARMACEUTICALS-JOGOO RD (Nairobi),PPB/A/1963,BU202602380,PARTNERSHIP,2013,JOGOO RD,Nairobi,VALID,ACTIVE,2026-12-31
ALL HEALTH CHEMIST,PPB/A/2878,BU202600211,PRIVATE COMPANY (LIMITED),2021,THIKA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ALLCHIN PHARMACY,PPB/A/3271,BU202607312,SOLE PROPRIETOR,2024,KISII-KERICHO,,VALID,ACTIVE,2026-12-31
ALLEMANO CHEMIST (Kakamega),PPB/A/1923,BU202600446,SOLE PROPRIETOR,2020,ELDORET-KITALE,Samburu,VALID,ACTIVE,2026-12-31
ALLEN PHARMACEUTICALS,PPB/A/3124,BU202602099,SOLE PROPRIETOR,2024,MASOGO RD,,VALID,ACTIVE,2026-12-31
ALLISTON CHEMIST,PPB/A/3367,BU202606842,SOLE PROPRIETOR,2025,WAIYAKI WAY,,VALID,ACTIVE,2026-12-31
ALLIUM PHARMACY (Nairobi),PPB/A/1980,BU202607552,SOLE PROPRIETOR,2021,TENA ESTATE,Nairobi,VALID,ACTIVE,2026-12-31
ALLIUM PHARMACY - KAHAWA WENDANI (Kiambu),PPB/A/3159,BU202605656,PRIVATE COMPANY (LIMITED),2023,KAHAWA WENDANI STREET,Kiambu,VALID,ACTIVE,2026-12-31
ALLMED HEALTHCARE (MSA) LIMITED (Mombasa),PPB/A/1973,BU202607428,PRIVATE COMPANY (LIMITED),2016,FIDEL ODINGA STREET,Mombasa,VALID,ACTIVE,2026-12-31
ALLMED PHARMRCEUTICALS LTD (Kiambu),PPB/A/1844,BU202605149,PRIVATE COMPANY (LIMITED),2016,UHURU,Kiambu,VALID,ACTIVE,2026-12-31
ALLPHARM CHEMIST (Nairobi),PPB/A/483,BU202602153,SOLE PROPRIETOR,2014,GLADYS GIRLS HIGH SCHOOL,Nairobi,VALID,ACTIVE,2026-12-31
ALLSEAS DRUG COMPANY (Mombasa),PPB/A/261,BU202600508,PRIVATE COMPANY (LIMITED),2012,LINK ROAD,Mombasa,VALID,ACTIVE,2026-12-31
ALMA SPRINGS MEDICARE (Meru),PPB/R/1353,BU202606010,SOLE PROPRIETOR,2022,MAUA MIKINDURI ROAD,Meru,VALID,ACTIVE,2026-12-31
ALMAR PHARMSAFE PHARMACY,PPB/A/3023,BU202607939,SOLE PROPRIETOR,2023,MBURU GICHUA ROAD,Nakuru,VALID,ACTIVE,2026-12-31
ALMARA PHARMACEUTICALS (Nakuru),PPB/A/1536,BU202606778,SOLE PROPRIETOR,2015,HOSPITAL ROAD,Nakuru,VALID,ACTIVE,2026-12-31
ALMARKS CHEMIST (Kiambu),PPB/A/1904,BU202603843,SOLE PROPRIETOR,2019,THIKA MANG'U ROAD,Kiambu,VALID,ACTIVE,2026-12-31
ALMAS CHEMIST (Meru),PPB/A/1729,BU202606691,SOLE PROPRIETOR,2017,MERU NAIROBI,Meru,VALID,ACTIVE,2026-12-31
ALMEGA CHEMIST (Kitui),PPB/A/426,BU202602392,SOLE PROPRIETOR,2014,HOSPITAL ROAD,Kitui,VALID,ACTIVE,2026-12-31
ALMENA DISPENSING CHEMIST (Kajiado),PPB/A/1953,BU202607786,SOLE PROPRIETOR,2021,EMALI-LOITOKITOK ROAD,Kajiado,VALID,ACTIVE,2026-12-31
ALMEX CHEMIST,PPB/A/2929,BU202601973,SOLE PROPRIETOR,2022,NYALI ROAD,Mombasa,VALID,ACTIVE,2026-12-31
ALMOND PHARMACY KABIRIA (Nairobi),PPB/A/2021,BU202600990,PRIVATE COMPANY (LIMITED),2014,KABIRIA,Nairobi,VALID,ACTIVE,2026-12-31
ALMUFA PHARMACEUTICALS LTD (Kilifi),PPB/S/456,BU202604270,PARTNERSHIP,2019,MSA HIGHWAY,Kilifi,VALID,ACTIVE,2026-12-31
ALNAAFIC PHARMACEUTICAL LIMITED,PPB/A/3191,BU202602537,PARTNERSHIP,2024,POSTA ROAD,,VALID,ACTIVE,2026-12-31
ALPHA EDDIE CHEMIST (Machakos),PPB/A/1743,BU202600251,SOLE PROPRIETOR,2018,MAKUTANO YA MWALA,Machakos,VALID,ACTIVE,2026-12-31
ALPHA MAYAN PHARMACEUTICAL,PPB/A/3206,BU202604172,SOLE PROPRIETOR,2024,TANI PARK -KATANI,,VALID,ACTIVE,2026-12-31
ALPHA PRESTIGE HEALTH SERVICES (Kiambu),PPB/A/1927,BU202602559,SOLE PROPRIETOR,2020,JUJA GATUNDU ROAD,Kiambu,VALID,ACTIVE,2026-12-31
ALPHA TUMUTUMU CHEMIST (Nyeri),PPB/A/2096,BU202605059,SOLE PROPRIETOR,2021,TUMUTUMU,Nyeri,VALID,ACTIVE,2026-12-31
ALPHAAFYA PHARMACY,PPB/A/3146,BU202601245,SOLE PROPRIETOR,2023,ISIOLO ROAD,,VALID,ACTIVE,2026-12-31
ALPHAMED DESPENSING CHEMIST (Nairobi),PPB/A/508,BU202601942,SOLE PROPRIETOR,2015,UTAWALA-GITHUNGURI RD,Nairobi,VALID,ACTIVE,2026-12-31
ALPHAMED PHARMACY (Nairobi),PPB/A/1582,BU202607729,PARTNERSHIP,2016,DONHOLM RD,Nairobi,VALID,ACTIVE,2026-12-31
ALPRECO DISPENSING CHEMIST (Nairobi),PPB/A/1871,BU202600834,PARTNERSHIP,2019,MOI DRIVE,Nairobi,VALID,ACTIVE,2026-12-31
ALTHENA HEALTH LIMITED,PPB/A/2950,BU202607365,PARTNERSHIP,2022,MURANGA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ALTOCARE PHARMACY,PPB/A/3270,BU202606329,PARTNERSHIP,2024,SOWETO STREET,,VALID,ACTIVE,2026-12-31
ALVAMED PHARMACY UTAWALA,PPB/A/2876,BU202602689,SOLE PROPRIETOR,2021,EASTERN BY-PASS,Nairobi,VALID,ACTIVE,2026-12-31
ALVAN CHEMIST (Nakuru),PPB/A/1989,BU202603519,SOLE PROPRIETOR,2021,RAVINE ROAD,Nakuru,VALID,ACTIVE,2026-12-31
ALVENT PHARMACY LIMITED (Kajiado),PPB/A/3321,BU202607023,SOLE PROPRIETOR,2025,SGR ROAD,Kajiado,VALID,ACTIVE,2026-12-31
ALVIM PHARMACY,PPB/A/3305,BU202601459,SOLE PROPRIETOR,2025,LIKONI LUNGA,,VALID,ACTIVE,2026-12-31
ALZAPOL PHARMACY LTD (Kiambu),PPB/A/2071,BU202602536,SOLE PROPRIETOR,2021,KIAMBU-RUIRU ROAD,Kiambu,VALID,ACTIVE,2026-12-31
AMAMA CHEMIST (Trans Nzoia),PPB/A/1625,BU202602272,SOLE PROPRIETOR,2016,KENYATTA,Trans Nzoia,VALID,ACTIVE,2026-12-31
AMANACARE,PPB/A/3165,BU202605256,SOLE PROPRIETOR,2024,RORET,,VALID,ACTIVE,2026-12-31
AMANIKIMBO CHEMIST  (Kiambu),PPB/A/1793,BU202602691,SOLE PROPRIETOR,2018,THIKA SUPER HIGHWAY,Kiambu,VALID,ACTIVE,2026-12-31
Amara Africa Ltd (Kajiado),PPB/T/305,BU202601207,PRIVATE COMPANY (LIMITED),2013,NAMANGA ROAD,Kajiado,VALID,ACTIVE,2026-12-31
AMARIAH CHEMIST,PPB/A/2897,BU202601511,SOLE PROPRIETOR,2022,EARTHLINK ROAD,Nairobi,VALID,ACTIVE,2026-12-31
AMAWELL PHARMACY,PPB/A/2884,BU202604504,SOLE PROPRIETOR,2022,BUNGOMA MUMIAS ROAD,Bungoma,VALID,ACTIVE,2026-12-31
AMAYA CHEMIST (Busia),PPB/A/328,BU202604255,SOLE PROPRIETOR,2011,NAMBALE BUTULA,Busia,VALID,ACTIVE,2026-12-31
AMAZON FOUR PHARMACY (Kilifi),PPB/D/2054,BU202607335,PARTNERSHIP,2019,BOFA KWA MWANGO,Kilifi,VALID,ACTIVE,2026-12-31
AMBASSADOR PHARMACY (Kiambu),PPB/A/2027,BU202607944,PARTNERSHIP,2021,BANANA KARURI,Kiambu,VALID,ACTIVE,2026-12-31
AMBEI CARE CHEMIST,PPB/A/3011,BU202607359,SOLE PROPRIETOR,2023,LUMINO,Kakamega,VALID,ACTIVE,2026-12-31
AMBIRA DRUG MART (Siaya),PPB/A/1951,BU202606667,SOLE PROPRIETOR,2020,UGUNJA UKWALA ROAD UKWALA ROAD,Siaya,VALID,ACTIVE,2026-12-31
AMC MEDICAL CENTER LIMITED,PPB/A/3110,BU202603439,PARTNERSHIP,2023,SECOND AVENUE,,VALID,ACTIVE,2026-12-31
AMEKECHEM CHEMIST (Kajiado),PPB/A/454,BU202606669,SOLE PROPRIETOR,2014,KISERIAN ROAD,Kajiado,VALID,ACTIVE,2026-12-31
AMELSTAR MEDICAL CENTRE,PPB/A/3276,BU202605408,SOLE PROPRIETOR,2024,ELDORET -KISUMU,,VALID,ACTIVE,2026-12-31
AMICARE CHEMISTS (Nairobi),PPB/A/1742,BU202600353,SOLE PROPRIETOR,2018,SPINE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
AMILAX PHARMACEUTICALS LIMITED,PPB/A/3199,BU202600173,PRIVATE COMPANY (LIMITED),2024,KAMUKUNJI,,VALID,ACTIVE,2026-12-31
AMIRTON PHARMACY,PPB/A/3098,BU202605830,SOLE PROPRIETOR,2023,MOWLEM,Nairobi,VALID,ACTIVE,2026-12-31
AMKA CHEMIST,PPB/A/3192,BU202600981,SOLE PROPRIETOR,2024,KAPKUGERWET ROAD,,VALID,ACTIVE,2026-12-31
AMO MALABA PHARMACY (Busia),PPB/A/441,BU202600256,SOLE PROPRIETOR,2014,BUNGOMA-MALABA,Busia,VALID,ACTIVE,2026-12-31
AMOIT PHARMACY LIMITED (Nairobi),PPB/A/3000,BU202603258,PARTNERSHIP,2022,SAVANNA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
AMONDI PHARMACY,PPB/A/2971,BU202600740,PARTNERSHIP,2022,MAIN STAGE,Siaya,VALID,ACTIVE,2026-12-31
AMOR CHEMIST (Bungoma),PPB/A/1706,BU202600010,SOLE PROPRIETOR,2017,KANDUYI- MALABA,Bungoma,VALID,ACTIVE,2026-12-31
AMROY PHARMACY LIMITED (Uasin Gishu),PPB/A/1673,BU202606850,PRIVATE COMPANY (LIMITED),2017,UGANDA ROAD,Uasin Gishu,VALID,ACTIVE,2026-12-31
AMUKURA PHARMACY (Busia),PPB/A/,BU202607202,SOLE PROPRIETOR,2012,,Busia,VALID,ACTIVE,2026-12-31
AMURU PHARMACY,PPB/A/3013,BU202604430,SOLE PROPRIETOR,2023,BUSIA KISUMU ROAD,Busia,VALID,ACTIVE,2026-12-31
AMYLIN CHEMIST LIMITED  (Bungoma),PPB/A/301,BU202601936,PRIVATE COMPANY (LIMITED),2011,MOI AVENUE,Bungoma,VALID,ACTIVE,2026-12-31
ANAFMED CHEMIST,PPB/A/3121,BU202603787,SOLE PROPRIETOR,2024,DEKOMA,,VALID,ACTIVE,2026-12-31
ANAINE PHARMACY (Nairobi),PPB/A/3273,BU202600620,SOLE PROPRIETOR,2023,SPINE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ANALLA PHARM,PPB/A/2921,BU202604534,SOLE PROPRIETOR,2022,KISUMU-KAPSABET ROAF,Nandi,VALID,ACTIVE,2026-12-31
ANAMED CHEMIST (Kiambu),PPB/A/1543,BU202602979,SOLE PROPRIETOR,2015,BIASHARA STREET,Kiambu,VALID,ACTIVE,2026-12-31
ANANDE MEDICAL SOLUTIONS AND PHARMACY,PPB/A/3387,BU202604203,SOLE PROPRIETOR,2025,KISUMU-BUSIA,,VALID,ACTIVE,2026-12-31
ANAYA PHARMACEUTICALS (Kiambu),PPB/A/2019,BU202601220,PARTNERSHIP,2021,THIKA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
ANCHOR SOSIANI CHEMIST,PPB/A/2979,BU202601938,SOLE PROPRIETOR,2022,MULIRO RD,Uasin Gishu,VALID,ACTIVE,2026-12-31
ANDES PHARMACY (Narok),PPB/A/1558,BU202601417,SOLE PROPRIETOR,2016,MAU NAROK ROAD,Narok,VALID,ACTIVE,2026-12-31
ANDRE PHARMACEUTICALS.,PPB/A/3340,BU202601949,SOLE PROPRIETOR,2015,"MAGADI ROAD, OPPOSITE CHURCH ROAD. NEXT TO MAGADIWAY BOUTIQUE",,VALID,ACTIVE,2026-12-31
ANDRENA PHARMACY CHEM,PPB/A/3313,BU202600352,SOLE PROPRIETOR,2025,BUSIA-KISUMU RD,,VALID,ACTIVE,2026-12-31
ANDRON CHEMIST (Nairobi),PPB/A/942,BU202607250,PARTNERSHIP,2015,KASARANI MWIKI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ANEK PHARMACY LIMITED,PPB/A/3352,BU202604609,PARTNERSHIP,2025,GITANGA ROAD,,VALID,ACTIVE,2026-12-31
ANFIELD PHARMACY LTD (Mombasa),PPB/A/2097,BU202603431,PARTNERSHIP,2021,LUHAR WADHA STREET,Mombasa,VALID,ACTIVE,2026-12-31
ANGAZA CHEMIST (Kakamega),PPB/A/435,BU202602101,SOLE PROPRIETOR,1914,ELDORET-KITALE,Kakamega,VALID,ACTIVE,2026-12-31
ANGELIC STAR PHARMACY (Nairobi),PPB/A/2020,BU202605832,SOLE PROPRIETOR,2021,MOI DRIVE,Nairobi,VALID,ACTIVE,2026-12-31
ANGELIDA CHEMIST (Tana River),PPB/A/2053,BU202603028,SOLE PROPRIETOR,2021,OPPOSITE POLICE STATION,Tana River,VALID,ACTIVE,2026-12-31
ANGELINKS PHARMACEUTICALS (Kiambu),PPB/A/2063,BU202605049,SOLE PROPRIETOR,2021,JEMIMA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
ANGELLO CHEMISTS (Bomet),PPB/A/1744,BU202607181,PARTNERSHIP,2011,MARA ROAD,Bomet,VALID,ACTIVE,2026-12-31
ANGELMED PHARMACY LIMITED (Kiambu),PPB/A/1943,BU202602832,SOLE PROPRIETOR,2020,FORTSMITHFORTSMITH,Kiambu,VALID,ACTIVE,2026-12-31
ANGYVIT PHARMACY (Machakos),PPB/A/515,BU202600712,PARTNERSHIP,2014,TEACHERS COLLEGE ROAD,Machakos,VALID,ACTIVE,2026-12-31
ANISAH CHEMIST (Nairobi),PPB/A/1915,BU202601006,SOLE PROPRIETOR,2020,OUTERING ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ANIVCARE HEALTH PHARMACY (Nairobi),PPB/A/2022,BU202601984,SOLE PROPRIETOR,2021,MANYANJA STREET,Nairobi,VALID,ACTIVE,2026-12-31
ANNBISILOM CHEMIST (Embu),PPB/A/1685,BU202600004,PARTNERSHIP,2017,EMBU_KIRITIRI,Embu,VALID,ACTIVE,2026-12-31
ANNE CAREPHARM CHEMIST - KISUMU,PPB/A/3168,BU202601907,SOLE PROPRIETOR,2024,POSTA ROAD OFF BUSIA ROAD,,VALID,ACTIVE,2026-12-31
ANNEX CAREPLUS LOGISTICS CHEMIST (Uasin Gishu),PPB/A/1754,BU202606779,SOLE PROPRIETOR,2018,ELDORET-NAIROBI,Uasin Gishu,VALID,ACTIVE,2026-12-31
ANNI MEDICAL SUPPLIERS (Kirinyaga),PPB/A/2030,BU202603835,PARTNERSHIP,2020,KAGIO KUTUS ROAD,Kirinyaga,VALID,ACTIVE,2026-12-31
ANNIFF CHEMIST,PPB/A/3117,BU202600235,SOLE PROPRIETOR,2023,KEROKA ICHUNI ROAD,,VALID,ACTIVE,2026-12-31
ANNPHARM CHEMIST,PPB/A/2927,BU202603263,SOLE PROPRIETOR,2021,NYERI,Nairobi,VALID,ACTIVE,2026-12-31
ANNPHARM TECHNOLOGIES,PPB/A/3209,BU202604520,SOLE PROPRIETOR,2021,NDUMA STREET,,VALID,ACTIVE,2026-12-31
ANNVICTORS PHARMACY (Kiambu),PPB/A/1549,BU202602055,SOLE PROPRIETOR,2016,NAIROBI NAKURU HIGHQAY,Kiambu,VALID,ACTIVE,2026-12-31
ANROL PHARMACY (Nakuru),PPB/A/92,BU202605976,SOLE PROPRIETOR,1914,MARKET ROAD,Nakuru,VALID,ACTIVE,2026-12-31
ANTIDOTE PHARMACY,PPB/A/3069,BU202600417,SOLE PROPRIETOR,2023,JCC HOUSE,Mombasa,VALID,ACTIVE,2026-12-31
ANTIMBIMA PHARMACY-KARATINA (Nyeri),PPB/A/1572,BU202602484,SOLE PROPRIETOR,2016,CHURCH ROAD,Nyeri,VALID,ACTIVE,2026-12-31
ANTOCHEM PHARMACY (Nairobi),PPB/A/254,BU202605624,SOLE PROPRIETOR,2013,MOI DRIVE,Nairobi,VALID,ACTIVE,2026-12-31
ANTONIO MEMZCHEMIST (Nairobi),PPB/A/1872,BU202603287,SOLE PROPRIETOR,2019,MUTUINI,Nairobi,VALID,ACTIVE,2026-12-31
ANTOPART CHEMIST LIMITED-KALOLENI STREET (Kilifi),PPB/A/336,BU202600295,PARTNERSHIP,2012,KALOLENI STREET,Kilifi,VALID,ACTIVE,2026-12-31
ANTOPART CHEMIST LTD-SOKONI (Kilifi),PPB/A/3217,BU202602302,PRIVATE COMPANY (LIMITED),2012,MAZERAS/KALOLENI ROAD,Kilifi,VALID,ACTIVE,2026-12-31
APEC PHARMACY LTD (Kiambu),PPB/A/37,BU202602799,PARTNERSHIP,1994,NAIVASHA,Kiambu,VALID,ACTIVE,2026-12-31
APELA PHARMACY,PPB/A/3156,BU202600892,PARTNERSHIP,2024,BOMA ROAD,,VALID,ACTIVE,2026-12-31
APEX CHERGEI HEALTHCARE,PPB/A/3307,BU202604252,SOLE PROPRIETOR,2024,KANU STREET,,VALID,ACTIVE,2026-12-31
APHIA-MED CHEMIST (Nakuru),PPB/A/1766,BU202601744,SOLE PROPRIETOR,2018,KENYATTA AVENUE,Nakuru,VALID,ACTIVE,2026-12-31
APOCARE PHARMACY LIMITED (Nairobi),PPB/A/1880,BU202600192,PRIVATE COMPANY (LIMITED),2019,THIRD PARKLANDS AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
APOLLO ATLAS PHARMACEUTICALS,PPB/A/3078,BU202602131,PRIVATE COMPANY (LIMITED),2023,ZANZIBAR ROAD,Nairobi,VALID,ACTIVE,2026-12-31
APOLO HEALTHCARE-NAIROBI (Nairobi),PPB/A/0368,BU202603355,PRIVATE COMPANY (LIMITED),2012,KIPKAPUS  ROAD,Nairobi,VALID,ACTIVE,2026-12-31
APOSITICS LIMITED,PPB/A/3377,BU202603724,PRIVATE COMPANY (LIMITED),2025,OLOO STREET,,VALID,ACTIVE,2026-12-31
APOSTLES PHARMACY LIMITED,PPB/A/2899,BU202603801,PARTNERSHIP,2021,CHEBOLE,Bomet,VALID,ACTIVE,2026-12-31
APOTEK PHARMACEUTICALS LTD,PPB/A/2915,BU202600051,PRIVATE COMPANY (LIMITED),2022,AIRWAYS CATHOLIC ROAD,Machakos,VALID,ACTIVE,2026-12-31
APOTHECARY PHARMACY (Kitui),PPB/A/2075,BU202602352,SOLE PROPRIETOR,2021,KITUI KIBWEZI ROAD,Kitui,VALID,ACTIVE,2026-12-31
APPHIA PHARMACY (Mombasa),PPB/A/413,BU202607162,SOLE PROPRIETOR,2014,SWALEH NGURU ROAD,Mombasa,VALID,ACTIVE,2026-12-31
APPLEGENE PHARMACY LTD (Nairobi),PPB/A/117,BU202606868,PRIVATE COMPANY (LIMITED),2003,LANGATA RD,Nairobi,VALID,ACTIVE,2026-12-31
APPOMED CHEMIST (Migori),PPB/A/1897,BU202601981,SOLE PROPRIETOR,2020,MIGORI SIRARE ROAD,Migori,VALID,ACTIVE,2026-12-31
APPROVED CARE CHEMIST,PPB/A/3296,BU202604974,SOLE PROPRIETOR,2025,NAIROBI- NAKURU HIGHWAY,,VALID,ACTIVE,2026-12-31
APTAKE PHARMACY,PPB/A/3336,BU202606698,PARTNERSHIP,2025,MURATINA ROAD,,VALID,ACTIVE,2026-12-31
ARABICA CHEMISTS-LUCKY SUMMER ROAD (Nairobi),PPB/A/1643,BU202607152,SOLE PROPRIETOR,2016,LUCKY SUMMER ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ARAP TOSHA CHEMIST (Kakamega),PPB/A/417,BU202600406,SOLE PROPRIETOR,2013,KAKAMEGA MUMIAS,Kakamega,VALID,ACTIVE,2026-12-31
ARATUS HEALTH PHARMACY,PPB/A/2965,BU202600228,PRIVATE COMPANY (LIMITED),2022,LOWER KABETE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ARCHERS HOME CHEMIST,PPB/A/3232,BU202600605,SOLE PROPRIETOR,2024,ISIOLO MARSABIT,,VALID,ACTIVE,2026-12-31
ARENA CHEMIST (Kericho),PPB/A/1993,BU202604199,SOLE PROPRIETOR,2021,SONDU-KISUMU HIGHWAY,Kericho,VALID,ACTIVE,2026-12-31
ARILEX PHARMACY (Nairobi),PPB/A/3096,BU202605960,SOLE PROPRIETOR,2023,SUNTON  ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ARIMUMBE PHARMACEUTICALS,PPB/A/3166,BU202602278,SOLE PROPRIETOR,2023,NRB-MBSA RD,,VALID,ACTIVE,2026-12-31
ARIZONA PHARMACEUTICALS (Kisii),PPB/A/231,BU202601743,PARTNERSHIP,2014,KISII-NAIROBI,Nyamira,VALID,ACTIVE,2026-12-31
ARIZONAS  PHARMACY (Kiambu),PPB/A/1624,BU202604195,SOLE PROPRIETOR,2016,LIMURU ROAD,Kiambu,VALID,ACTIVE,2026-12-31
ARLANDA PHARMACY (Uasin Gishu),PPB/A/1892,BU202603713,SOLE PROPRIETOR,2020,KISUMU ROAD,Uasin Gishu,VALID,ACTIVE,2026-12-31
ARMICHEM CHEMIST-MERU,PPB/A/3033,BU202605475,SOLE PROPRIETOR,2023,KIONYO-NKUBU,Meru,VALID,ACTIVE,2026-12-31
ARNICA PHARMACEUTICALS LTD (Nairobi),PPB/A/472,BU202601840,PRIVATE COMPANY (LIMITED),2014,RIVERSIDE DRIVE,Nairobi,VALID,ACTIVE,2026-12-31
ARNICA PHARMACEUTICALS ROYSAMBU BRANCH,PPB/A/3050,BU202604300,PARTNERSHIP,2013,MIREMA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ARUKA PHARMACY LIMITED (Nairobi),PPB/A/3067,BU202605054,SOLE PROPRIETOR,2023,MAI MAHIU ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ARUNA PHARMACY (Kirinyaga),PPB/A/1698,BU202601292,SOLE PROPRIETOR,2017,WANG\'URU GATHIGIRIRI ROAD,Kirinyaga,VALID,ACTIVE,2026-12-31
ARUWKAH PHARMACY,PPB/A/3319,BU202602124,SOLE PROPRIETOR,2025,KIBAKI STREET,,VALID,ACTIVE,2026-12-31
ARVAS CHEMIST BUNGOMA (Bungoma),PPB/A/1768,BU202607797,SOLE PROPRIETOR,2018,KIBABII UNIVERSITY ROAD,Bungoma,VALID,ACTIVE,2026-12-31
ARWOS AFYACARE CHEMIST,PPB/A/3143,BU202604368,SOLE PROPRIETOR,2023,BARATON -KAPTEL,,VALID,ACTIVE,2026-12-31
ARYA PHARMACEUTICALS (Nairobi),PPB/A/1575,BU202605190,SOLE PROPRIETOR,2016,FEDHA ROAD TASSIA,Nairobi,VALID,ACTIVE,2026-12-31
ASAL PHARMACY LIMITED (Isiolo),PPB/A/1628,BU202604164,PRIVATE COMPANY (LIMITED),2015,NAIROBI - MOYALE,Isiolo,VALID,ACTIVE,2026-12-31
ASAMIS PHARMACY (Kiambu),PPB/A/439,BU202602517,PARTNERSHIP,2014,KIGANJO-WITEITHIE RD,Kiambu,VALID,ACTIVE,2026-12-31
ASANTE PHARMACY,PPB/A/3344,BU202606347,SOLE PROPRIETOR,2016,OUTERING ROAD,,VALID,ACTIVE,2026-12-31
ASAPCHEMIST (Meru),PPB/A/1547,BU202603029,PARTNERSHIP,2016,MOI AVENUE,Meru,VALID,ACTIVE,2026-12-31
ASCEND PHARMACY LTD,PPB/A/2966,BU202605587,SOLE PROPRIETOR,2022,MOMBASA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ASCENT MEDMART (Nairobi),PPB/A/1570,BU202603749,SOLE PROPRIETOR,2016,LANGATA SOUTH ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ASHAVIAN,PPB/A/3376,BU202602217,SOLE PROPRIETOR,2025,NAKURU NAIROBI HWAY,,VALID,ACTIVE,2026-12-31
ASHBRIDGE PHARMACEUTICALS (Nairobi),PPB/A/357,BU202600110,SOLE PROPRIETOR,2013,,Nairobi,VALID,ACTIVE,2026-12-31
ASHILUK PHARMACY,PPB/A/3126,BU202601915,SOLE PROPRIETOR,2024,BIASHARA ROAD,,VALID,ACTIVE,2026-12-31
ASHOKEM PHARMACEUTICALS (Nairobi),PPB/A/1952,BU202607918,SOLE PROPRIETOR,2021,GINGURI UTAWALA ROAD,Machakos,VALID,ACTIVE,2026-12-31
ASHULA CHEMIST (Kakamega),PPB/A/329,BU202605043,SOLE PROPRIETOR,2014,,Kakamega,VALID,ACTIVE,2026-12-31
ASIA CHEMIST,PPB/A/3196,BU202600495,SOLE PROPRIETOR,2024,"OLDTOWN, KIBOKONI ROAD",,VALID,ACTIVE,2026-12-31
ASIS CHEMIST (Uasin Gishu),PPB/A/318,BU202606690,SOLE PROPRIETOR,2013,NGALA STREET,Uasin Gishu,VALID,ACTIVE,2026-12-31
ASISMED CHEMIST (Uasin Gishu),PPB/A/2060,BU202604302,SOLE PROPRIETOR,2021,NGERIA,Uasin Gishu,VALID,ACTIVE,2026-12-31
ASMARA CHEMIST (Nakuru),PPB/A/434,BU202601025,SOLE PROPRIETOR,2013,MOLO-OLENGURUENI RD,Nakuru,VALID,ACTIVE,2026-12-31
